entity_id,state,last_changed
sensor.shellypro3em_leistung,4.256,2026-06-06T22:15:19.732Z
sensor.shellypro3em_leistung,-5.518,2026-06-06T22:15:26.660Z
sensor.shellypro3em_leistung,3.28,2026-06-06T22:15:31.661Z
sensor.shellypro3em_leistung,-6.09,2026-06-06T22:15:37.693Z
sensor.shellypro3em_leistung,6.157,2026-06-06T22:15:45.667Z
sensor.shellypro3em_leistung,-5.165,2026-06-06T22:15:50.684Z
sensor.shellypro3em_leistung,2.322,2026-06-06T22:15:55.682Z
sensor.shellypro3em_leistung,-3.432,2026-06-06T22:16:02.814Z
sensor.shellypro3em_leistung,7.688,2026-06-06T22:16:08.672Z
sensor.shellypro3em_leistung,-2.725,2026-06-06T22:16:16.699Z
sensor.shellypro3em_leistung,6.073,2026-06-06T22:16:23.678Z
sensor.shellypro3em_leistung,-1.329,2026-06-06T22:16:28.677Z
sensor.shellypro3em_leistung,-4.979,2026-06-06T22:16:43.682Z
sensor.shellypro3em_leistung,6.494,2026-06-06T22:16:49.681Z
sensor.shellypro3em_leistung,-2.742,2026-06-06T22:16:54.703Z
sensor.shellypro3em_leistung,7.032,2026-06-06T22:16:59.687Z
sensor.shellypro3em_leistung,-3.533,2026-06-06T22:17:05.689Z
sensor.shellypro3em_leistung,-6.224,2026-06-06T22:17:20.699Z
sensor.shellypro3em_leistung,4.256,2026-06-06T22:17:28.722Z
sensor.shellypro3em_leistung,-5.922,2026-06-06T22:17:34.706Z
sensor.shellypro3em_leistung,3.23,2026-06-06T22:17:39.707Z
sensor.shellypro3em_leistung,6.224,2026-06-06T22:17:47.710Z
sensor.shellypro3em_leistung,-5.72,2026-06-06T22:17:52.722Z
sensor.shellypro3em_leistung,5.72,2026-06-06T22:18:04.715Z
sensor.shellypro3em_leistung,-3.751,2026-06-06T22:18:09.715Z
sensor.shellypro3em_leistung,5.366,2026-06-06T22:18:15.717Z
sensor.shellypro3em_leistung,-7.318,2026-06-06T22:18:20.718Z
sensor.shellypro3em_leistung,7.217,2026-06-06T22:18:25.737Z
sensor.shellypro3em_leistung,-3.617,2026-06-06T22:18:32.722Z
sensor.shellypro3em_leistung,-4.879,2026-06-06T22:18:37.741Z
sensor.shellypro3em_leistung,7.049,2026-06-06T22:18:43.745Z
sensor.shellypro3em_leistung,-2.944,2026-06-06T22:18:56.725Z
sensor.shellypro3em_leistung,12.011,2026-06-06T22:19:06.720Z
sensor.shellypro3em_leistung,-0.236,2026-06-06T22:19:11.721Z
sensor.shellypro3em_leistung,-2.237,2026-06-06T22:19:26.734Z
sensor.shellypro3em_leistung,-5.854,2026-06-06T22:19:42.727Z
sensor.shellypro3em_leistung,12.718,2026-06-06T22:19:49.724Z
sensor.shellypro3em_leistung,-3.55,2026-06-06T22:19:55.725Z
sensor.shellypro3em_leistung,-11.17,2026-06-06T22:20:00.848Z
sensor.shellypro3em_leistung,-4.054,2026-06-06T22:20:07.726Z
sensor.shellypro3em_leistung,-4.576,2026-06-06T22:20:14.715Z
sensor.shellypro3em_leistung,6.426,2026-06-06T22:20:19.714Z
sensor.shellypro3em_leistung,-7.419,2026-06-06T22:20:25.716Z
sensor.shellypro3em_leistung,3.836,2026-06-06T22:20:31.708Z
sensor.shellypro3em_leistung,-3.768,2026-06-06T22:20:37.742Z
sensor.shellypro3em_leistung,2.591,2026-06-06T22:20:50.700Z
sensor.shellypro3em_leistung,-5.08,2026-06-06T22:20:57.698Z
sensor.shellypro3em_leistung,5.013,2026-06-06T22:21:02.695Z
sensor.shellypro3em_leistung,-3.465,2026-06-06T22:21:08.692Z
sensor.shellypro3em_leistung,6.14,2026-06-06T22:21:21.690Z
sensor.shellypro3em_leistung,-1.918,2026-06-06T22:21:28.687Z
