category,Netz aktuell,Netz Ø,SunEnergy Ist,SunEnergy Soll,Hoymiles,SunEnergy AC,Hausverbrauch,Batterie SOC,Heizung,Pool,Desk PC,Trockner,Waschmaschine,Server,Bambu H2C,Bambu X1C,Entkalkung,Gaming Monitore,Treppe,Kaffeemaschine,Küche Unterbau 1,Küche Unterbau 2,Küche Unterbau 3,Küche Unterbau 4,Carport Licht 1,Carport Licht 2,Carport Licht 3,Carport Licht 4
Thu Jun 04 2026,,-61.930357142857126,0,-2033.7037037037037,,,527.5394736842105,94,7.828571428571429,2.892307692307692,,,,16.13454545454545,29.2,,1.8994736842105262,36.61652173913043,,,,,,,,,,
Thu Jun 04 2026,,-43.99750000000001,0.27941176470588236,-2321.875,,,448.7872727272726,94,7.7250000000000005,2.8777777777777778,,,,16.293220338983048,21.46,,1.8694736842105264,36.71549999999999,,,,,,,,,,
Thu Jun 04 2026,,-60.291818181818165,0.2246376811594203,-2395,,,443.0183486238533,94,7.844444444444444,2.8571428571428568,,,,16.032142857142862,21.419999999999998,,1.9725000000000001,36.673181818181824,,,,,,,,,,
Thu Jun 04 2026,,-56.445614035087715,0.8461538461538461,-2392.222222222222,,,429.03706896551705,94,7.75,2.85,,,,16.233333333333334,21.375,,1.9068421052631577,33.3612,,,,,,,,,,
Thu Jun 04 2026,,-63.348181818181814,0.20072992700729927,-2392.222222222222,,,308.3830508474575,94,7.85,2.869230769230769,,,,16.02068965517241,21.53333333333333,,1.9217647058823526,0.980952380952381,,0,,,,,,,,
Thu Jun 04 2026,,-64.99626168224299,0,-2375.4545454545455,,,302.58359375000015,94,7.833333333333333,2.8846153846153846,,,,16.42631578947368,21.45,,1.9157894736842105,0.9536363636363635,,0,,,,,,,,
Thu Jun 04 2026,,-45.821238938053064,1.5777777777777777,-2347.8571428571427,,,293.72110091743116,94,7.688888888888889,2.7818181818181817,,,,15.750909090909088,21.44,,1.8529999999999998,0.9481818181818181,,0,,,,,,,,
Thu Jun 04 2026,,-9.064035087719303,1.247191011235955,-2340.909090909091,,,329.8836734693879,94,7.673333333333333,2.8299999999999996,,,,16.451851851851846,21.52,,1.8515789473684214,0.9873684210526317,,0,,,,,,,,
Thu Jun 04 2026,,8.157391304347831,0.9557522123893806,-1967.7551020408164,,,411.9214285714286,94,7.6800000000000015,2.8454545454545452,,,,16.356363636363636,21.5,,1.8399999999999999,0.9486363636363638,,0,,,,,,,,
Thu Jun 04 2026,,31.522018348623845,0.6573426573426573,-1569.2,,,391.9365384615385,94,7.646153846153846,2.809090909090909,,,,16.485714285714288,21.6,,1.864210526315789,0.9522727272727273,,0,,,,,,,,
Thu Jun 04 2026,,15.116101694915253,29.583333333333332,-947.3913043478261,,,388.12800000000016,94,7.6875,2.833333333333333,,,,15.532142857142858,21.474999999999998,,1.9129999999999998,0.9428571428571428,,0,,,,,,,,
Thu Jun 04 2026,,-47.776576576576566,32.86842105263158,-1316.9811320754718,,,285.2459999999999,94,7.750000000000001,2.8299999999999996,,,,16.168421052631576,21.675000000000004,,1.8595000000000002,0.9526086956521739,,0,,,,,,,,
Thu Jun 04 2026,,-52.887719298245614,3.6542857142857144,-2354.814814814815,,,255.9957983193277,94,7.791666666666668,2.8499999999999996,,,,16.291071428571424,21.339999999999996,,1.8994736842105262,0.9559090909090909,,0,,,,,,,,
Thu Jun 04 2026,,-55.53865546218486,0,-2392.3076923076924,,,296.6827868852459,94,7.585714285714287,2.844444444444444,,,,16.019642857142852,21.35,,1.8555,0.9399999999999998,,0,,,,,,,,
Thu Jun 04 2026,,-50.759090909090894,0,-2388.3333333333335,,,293.0017543859649,94,7.578571428571428,2.833333333333333,,,,16.140677966101695,21.52,,1.8715789473684212,0.9595238095238094,,0,,,,,,,,
Thu Jun 04 2026,,-60.1081081081081,4.105263157894737,-2379.5652173913045,,,290.6711267605635,94,7.619999999999999,2.8499999999999996,,,,15.736363636363638,21.375,,1.9121052631578943,0.958260869565217,,0,,,,,,,,
Thu Jun 04 2026,,-55.928813559322045,1.013157894736842,-2389,,,293.0962616822429,94,7.558333333333334,2.8428571428571425,,,,16.078181818181825,21.360000000000003,,1.8844999999999998,0.9326086956521741,,0,,,,,,,,
Thu Jun 04 2026,,-10.14491525423729,0,-2323.181818181818,,,288.3951807228915,94,7.7,2.854545454545454,,,,15.994545454545456,21.424999999999997,,1.8290000000000002,0.9604545454545454,,0,,,,,,,,
Thu Jun 04 2026,,3.3050847457627075,1.584,-2028.3333333333333,,,358.2803571428572,94,7.684615384615385,2.827272727272727,,,,16.018518518518515,21.36,,1.877777777777778,0.9477272727272728,,0,,,,,,,,
Thu Jun 04 2026,,-11.899999999999997,0,-2295,,,388.76756756756754,94,7.614285714285715,2.8,,,,15.614814814814816,21.340000000000003,,1.8674999999999997,0.9595,,0,,,,,,,,
Thu Jun 04 2026,,-18.658620689655184,0.15,-2258.181818181818,,,385.96611570247916,94,7.640000000000001,2.8299999999999996,,,,15.719999999999999,21.5,,1.8279999999999998,0.9412500000000001,,0,,,,,,,,
Thu Jun 04 2026,,-27.89107142857143,0,-2114.1176470588234,,,391.09019607843146,94,7.716666666666668,2.8538461538461535,,,,15.567241379310348,21.35,,1.8868421052631577,0.9256521739130436,,0,,,,,,,,
Thu Jun 04 2026,,10.603571428571442,928.72,-1582.391304347826,,,-381.67665369649797,94,7.857142857142856,2.844444444444444,,,,16.11578947368421,21.425,,1.934736842105263,11.59142857142857,,612.6158620689655,,,,,,,,
Thu Jun 04 2026,,36.081159420289865,1517.9347826086957,1332.1739130434783,,,1237.3670454545454,94,7.746153846153846,2.8555555555555556,,,,16.999999999999996,21.38333333333333,0,1.9189473684210523,37.1475,0,2.8177777777777737,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-55.23176470588235,1220.5833333333333,1046.2790697674418,,,1351.9584158415848,93.93991416309012,7.764285714285714,2.854545454545454,,,,16.137931034482758,21.574999999999996,0,1.8815000000000002,36.95199999999999,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-64.31844660194176,0.05473965287049399,-1580,,,435.7863636363635,94,7.806666666666667,2.844444444444444,,,,15.754385964912272,21.32,0,1.8939999999999997,36.86666666666666,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,430.01170212765953,0,-939,,,1220.9978723404254,94,7.711111111111112,2.855555555555555,,,,16.24655172413793,21.625,0,1.8829411764705886,36.77869565217391,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,1387.0854838709681,0,2400,,,2560.552,95,7.63846153846154,2.8384615384615377,,,,16.042372881355934,21.55,0,1.841,36.74999999999999,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,822.1069767441859,0,2400,,,2539.4327586206887,94,7.707692307692307,2.9,,,,15.676785714285716,21.3,0,1.8745,36.71947368421053,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-51.98727272727272,0,417.05882352941177,,,564.651754385965,94,7.872727272727274,2.8941176470588235,,,,15.988135593220338,21.25,0,1.9535,36.69041666666667,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-65.36388888888887,0,-1454.6153846153845,,,564.2487603305786,94,7.845454545454545,2.915384615384615,,,,16.661111111111115,21.3,0,1.9255,36.65260869565217,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-56.68,0,-2366.842105263158,,,630.6929824561404,94,78.15294117647056,2.9454545454545453,,,,16.0948275862069,21.325,0,1.9457894736842105,36.65047619047619,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-59.786170212765946,-34.904761904761905,-2395,,,593.8685714285714,94,91.12999999999998,2.9545454545454546,,,,16.67592592592592,21.333333333333332,0,1.9578947368421051,36.64904761904762,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-3.2182926829268306,-35.07,-2213.6666666666665,,,565.6156249999999,94,82.79565217391304,2.9499999999999997,,,,16.79245283018868,21.240000000000002,0,1.935,36.57449999999999,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-13.02090909090909,-35.01984126984127,-2123.5135135135133,,,486.0576086956521,94,11.27692307692308,2.9099999999999997,,,,16.19122807017544,21.375,0,1.9594736842105263,36.633809523809525,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-2.7196261682242966,-35,-2167.027027027027,,,487.7386666666666,94,7.8999999999999995,2.86,,,,16.101724137931036,21.4,0,1.8916666666666666,36.623684210526314,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-20.404807692307692,-34.96341463414634,-2291.153846153846,,,478.66857142857145,94,7.876923076923077,2.8874999999999997,,,,15.852727272727277,21.375,0,1.8810000000000002,36.60368421052632,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,18.620952380952378,-34,-2099.8076923076924,,,488.4786666666666,94,7.875000000000001,2.84,,,,16.18448275862069,21.419999999999998,0,1.9068421052631577,36.62761904761905,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2026,,-16.088541666666668,-34.0015197568389,-2057.7272727272725,,,478.18333333333334,94,7.65,2.8499999999999996,,,,16.37142857142857,21.360000000000003,0,1.8642105263157895,36.631,0,0,0,0,0,0,0,0,0,0
