category,Netz aktuell,Netz Ø,SunEnergy Ist,SunEnergy Soll,Hoymiles,SunEnergy AC,Hausverbrauch,Batterie SOC,Heizung,Pool,Desk PC,Trockner,Waschmaschine,Server,Bambu H2C,Bambu X1C,Entkalkung,Gaming Monitore,Treppe,Kaffeemaschine,Küche Unterbau 1,Küche Unterbau 2,Küche Unterbau 3,Küche Unterbau 4,Carport Licht 1,Carport Licht 2,Carport Licht 3,Carport Licht 4,Waschküche_licht,Werkstatt_licht,E_Werkstatt_licht
Sat Jun 06 2026,0.266375,0.2688888888888888,460.88421052631577,465,7.266666666666667,-466.23999999999995,475.840625,54,7.540000000000001,2.7818181818181817,125.84666666666665,0,0,16.17068965517241,0,0,1.8278947368421055,36.739545454545464,0,0,16.709999999999994,16.709999999999994,16.709999999999994,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-2.9500909090909087,-3.2261904761904763,419.36,418,7.25,-430.4714285714286,434.2903225806451,53,7.5,2.783333333333333,125.26250000000002,0,0,15.914545454545458,0,0,1.8389473684210524,36.715909090909086,0,0,14.853333333333333,14.853333333333333,14.853333333333333,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-6.409999999999999,-4.614035087719298,406.44554455445547,405.6666666666667,7.199999999999999,-397.9428571428571,408.6950000000001,52,7.366666666666666,2.75,121.94285714285714,0,0,15.84727272727273,0,0,1.874210526315789,33.039565217391306,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,1.7256315789473684,-0.284,292.969696969697,295.625,7.2,-302.4,311.7652173913043,52,7.3500000000000005,2.8099999999999996,98.11176470588236,0,0,16.514035087719297,0,0,1.8559999999999999,0.9339999999999999,0,0,15.34,15.34,15.34,0,0,0,0,0,0,0,0
Sat Jun 06 2026,8.267199999999999,7.245,341.84313725490193,340.5,7.24,-349.6928571428571,365.3,51,7.372727272727274,2.7615384615384615,108.50999999999999,0,0,15.672881355932203,0,0,1.835,5.763478260869565,0,0,15.050833333333335,15.050833333333335,15.050833333333335,0,0,0,0,0,0,0,0
Sat Jun 06 2026,6.293899999999999,7.877966101694915,497.4591836734694,497.5,7.233333333333333,-496.07142857142856,519.0949999999999,50,95.59090909090911,2.75,127.4642857142857,0,0,16.10925925925926,0,0,1.8054999999999999,36.94761904761906,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,9.630230769230769,10.243137254901956,619.4646464646464,614.8837209302326,7.25,-631.7874999999999,639.9081081081082,49,84.72692307692309,2.783333333333333,125.09583333333332,0,0,15.705357142857142,0,0,1.8426315789473684,36.7915,0,0,15.814444444444442,15.814444444444442,15.814444444444442,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-2.42316,-1.676,632.75,633.4285714285714,7.2,-635.3,642.5694444444445,48,69.35454545454546,2.82,124.92352941176469,0,0,15.683333333333326,0,0,1.846842105263158,36.74227272727273,0,0,16.71454545454546,16.71454545454546,16.71454545454546,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-0.46900000000000014,-1.3480000000000008,537.78,539.3333333333334,7.233333333333333,-545.6833333333333,551.5529411764705,47,7.666666666666667,2.8,126.28999999999999,0,0,15.383928571428575,0,0,1.8475000000000001,36.71458333333333,0,0,16.214117647058828,16.214117647058828,16.214117647058828,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-9.76258064516129,-10.324590163934424,343,349.6296296296296,7.35,-364.2615384615385,354.4608695652174,47,7.618181818181818,2.76,68.13333333333334,0,0,15.477777777777781,0,0,1.8414999999999995,5.1136,1.67,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-7.281250000000001,-6.8666666666666645,268.5204081632653,256.47058823529414,7.280000000000001,-250.4307692307693,265.73333333333335,46,7.574999999999999,2.8166666666666664,1.8499999999999999,0,0,15.862499999999997,0,0,1.8889473684210527,1.0694736842105264,2.3925,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-0.36100000000000004,-0.3485714285714284,202.01,204.76190476190476,7.35,-215.12999999999997,221.561403508772,46,7.554545454545454,2.75,1.775,0,0,15.566071428571432,0,0,1.858421052631579,1.0882608695652174,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,0.38046808510638314,0.4817204301075271,212.93,213.125,7.3,-224.21363636363637,232.85138888888892,45,7.6000000000000005,2.808333333333333,1.85,0,0,15.383636363636365,0,0,1.8311111111111107,1.0918181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,0.8376279069767442,0.5906976744186047,214.95,214.84848484848484,7.300000000000001,-225.27647058823527,235.7806451612903,45,7.546153846153846,2.75,1.8,0,0,15.694736842105264,0,0,1.8427777777777778,1.0699999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,0.08332558139534889,0.20465116279069787,214.18,215.75757575757575,7.3500000000000005,-222.27142857142854,230.05185185185184,44,7.554545454545454,2.77,1.75,0,0,15.466071428571427,0,0,1.8569999999999998,1.0895454545454548,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-0.11155813953488378,-0.03372093023255812,215.95,215,7.300000000000001,-224.73333333333332,233.82037037037037,44,7.55,2.7714285714285714,1.85,0,0,15.757894736842106,0,0,1.8495000000000001,1.0852380952380951,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,5.71442105263158,5.269736842105263,246.126213592233,233.57142857142858,7.333333333333333,-275.95000000000005,267.50204081632654,44,7.550000000000001,2.8,1.8,0,0,15.526785714285719,0,0,1.8615000000000002,1.0763636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2026,-0.7474666666666667,-0.2733333333333333,322.5360824742268,323.4782608695652,7.325000000000001,-331.3888888888889,341.47209302325587,43,7.529999999999999,2.791666666666666,1.8799999999999997,0,0,15.27222222222222,0,0,1.857777777777778,1.0795652173913046,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.07821428571428564,-0.2857142857142857,319.63,321.6,7.266666666666667,-330,339.6243902439024,42,7.566666666666667,2.7692307692307696,1.7666666666666666,0,0,15.23090909090909,0,0,1.8480000000000003,1.084,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,0.7146666666666667,0.8296296296296295,318.93203883495147,319,7.2,-329.7,336.85897435897436,42,7.583333333333333,2.783333333333333,1.7,0,0,16.108928571428574,0,0,1.841,1.0764999999999998,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-4.899969696969696,-4.832307692307694,245.0909090909091,230.8,7.3,-246.4857142857143,257.3142857142857,41,7.58,2.8166666666666664,1.8,0,0,15.470370370370368,0,0,1.8744999999999998,1.093157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2026,-0.09315384615384623,-0.05256410256410257,215.5408163265306,215.625,7.2749999999999995,-225.59473684210528,234.95161290322582,41,7.6000000000000005,2.75,1.7999999999999998,0,0,15.839215686274514,0,0,1.8276470588235294,1.077826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0
